run_id,mean_renewable_generation,overall_std_renewable_generation,mean_scenario_std_renewable_generation,sum_total_cost
run_000,1470.3644309555932,697.5279023270141,378.12114224504086,29006.007762248533
run_001,1764.8569004403068,783.5184763711368,391.1630685565476,21358.733872561752
run_002,1434.4916495186371,668.9359255198176,270.3714034152522,8605.569423071178
run_003,1593.7584190308994,558.5479290793055,343.7311696000945,15702.22016196321
run_004,1488.5174160667375,756.5367182076285,251.3340976581644,10864.649216475329
run_005,1496.9815559923538,588.9294211876315,330.91181765364837,21065.987395251417
run_006,1673.689637893062,766.0494417084602,413.5385127021969,-16836.036121728717
run_007,1762.4755874243783,636.0253673003899,457.73374794786577,31600.802644894145
run_008,1737.893832033422,712.9004115315186,433.0456149115051,12252.21460817421
run_009,1635.5434753884158,618.2729236812548,333.9981697747278,8947.03754645076
run_010,1482.9756416476012,682.1300560414475,307.2351080976981,1395.7631234963246
run_011,1647.4917716838895,535.6024004079017,348.6600141734147,4340.007002735116
run_012,1429.983854292184,635.0072302792607,256.4977441115044,9554.57995352316
run_013,1545.8926301798742,635.9724091220434,379.0499315767385,30944.396253230192
run_014,1626.4390138095318,714.2685857628142,374.4425023600007,14474.172361616376
run_015,1454.2770121214965,655.6033380417691,289.37187509865606,-9374.152065884226
run_016,1636.3289129008758,662.2112065930243,353.06626036990525,25197.190757113363
run_017,1702.9606853471025,596.1273670780794,343.3401417024027,14309.031734187227
run_018,1499.0877393029214,645.1858380249553,310.18300131972524,23522.772252610408
run_019,1601.517139555928,631.7432396950843,367.58509565502527,1316.4074128521825
run_020,1549.7874266952335,650.9798611306273,321.68165816512806,3804.4338862504173
run_021,1689.7941064749,536.5031858785662,343.3199351141241,8631.345293721204
run_022,1434.5177934349044,647.5333778340515,319.28590927817027,14400.946534180945
run_023,1345.0981526254616,617.4095721604182,385.59920621486043,9657.145507313111
run_024,1586.903081406875,569.4080647470192,302.84180698862815,3511.208029165351
run_025,1662.4790110403487,626.6506274597376,289.8160019843015,-12425.635153684998
run_026,1473.6241467079758,658.8549032914542,340.9108469597882,17222.79148877602
run_027,1423.0465971843355,537.1134392376251,340.4036493880164,24168.269713453432
run_028,1460.6989470997773,595.2617180270311,341.4412256139869,39098.1688604288
run_029,1550.0116197480945,618.1462485369332,395.28342630695005,1940.4799641859536
run_030,1665.6568133992607,709.3493736552088,334.0663078238225,2316.508445999465
run_031,1569.6542383425108,524.1830633675702,308.234871523549,-10546.4829540872
run_032,1573.620422162542,737.2255888595425,392.5555286586502,17061.765669539025
run_033,1583.5762766364487,574.3872672923126,387.4973681923325,3280.7547165860524
run_034,1669.3879768044603,577.2821160205414,278.25839765677614,7053.159173475793
run_035,1558.9437151832617,609.0317627602051,293.4638563361664,13457.239504649217
run_036,1448.5844168028586,649.2194062120919,356.05738525422674,18750.630197473165
run_037,1443.005330824793,656.3823367645149,452.2095696668662,13568.640801312358
run_038,1512.0087315627852,663.9449073679651,312.56408879995246,12793.83680364834
run_039,1440.0344988467816,760.6968519411764,361.33557449727095,7550.079765075516
run_040,1486.4465044950261,658.0686462682529,342.2313199147699,17414.604983706093
run_041,1487.9413573630795,593.0611486717561,360.0707724172428,-26020.998275005113
run_042,1539.7254743801545,635.9905399532153,373.25433586106845,8338.49000898152
run_043,1384.478082808525,721.1617364364608,322.82682167875157,5204.7227591640185
run_044,1529.3499667281408,737.8013086519353,298.4314258914269,8921.279612342203
run_045,1620.447546566355,693.5649264388308,369.145135659269,15555.49403540734
run_046,1643.170666811009,526.4172166373004,342.22116404014724,-6004.761092773773
run_047,1635.9050536580712,663.4039754831282,334.5410350685476,-12430.496039206824
run_048,1606.030486447986,588.0790590190173,342.27222212443667,6882.308913490677
run_049,1697.6569024362109,629.6183369898929,344.20003971616296,8485.46761557541
